hand_id,source,prev_decision_idx,curr_decision_idx,prev_street,curr_street,update_type,llm_magnitude,oracle_magnitude,correlation,direction_agreement,magnitude_ratio
5850a281,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.08988075090204826,0.025104184297064937,0.8779847561869093,0.8571428571428571,3.5803095547126262
5850a281,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.08388612946160638,0.02754556301815303,-0.9564416775529408,0.07142857142857142,3.0453590440799445
4bafe4bf,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.03623696019191755,0.025849724688805958,-0.3838123961243555,0.6428571428571429,1.4018315718313903
b2dac46d,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.025751236162263314,,1.0,0.0
80d138b8,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.025849724688805958,,1.0,0.0
80d138b8,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.041666666666666664,0.028017932281985226,0.0008992978403014789,0.8571428571428571,1.4871428143702528
6c790dd9,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.07054944221977612,0.02578094415996703,-0.7768265306757028,0.6428571428571429,2.736495676109728
37f23ed2,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.08488578617883616,0.02503974594144778,0.46543770745423596,0.7142857142857143,3.3900418309886464
37f23ed2,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.06918657877890928,0.027435680285041567,-0.7784517901084947,0.8571428571428571,2.521773765406906
794867cd,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.07136709442821533,0.025687033456560766,0.40619201878477956,0.7142857142857143,2.7783315091212817
06a4aec9,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.08054744109094562,0.024886076734411573,-0.23900801199045463,0.5,3.2366468186432744
53485b73,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.025625355858863694,,1.0,0.0
dc52c4ef,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.05103103630798283,0.025034713992639436,-0.854165478204505,0.7857142857142857,2.0384109969455486
dc52c4ef,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.09373603354797777,0.027467649476696162,0.7942391236689895,0.8571428571428571,3.4125975587210107
2bda2525,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.024585059161203317,,1.0,0.0
e2750071,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.0,0.025312504083404033,,1.0,0.0
4dc12ec6,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06139957172006502,0.02577492073081564,0.5307713505154597,0.7142857142857143,2.3821439592889893
d2ebdaa3,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.05103103630798283,0.025034713992639436,-0.854165478204505,0.7857142857142857,2.0384109969455486
4605a6dc,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.06039024072969295,0.025359635562864344,-0.33706418170229296,0.5714285714285714,2.3813528621099764
23792632,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.1426739403616168,0.016073397991873677,0.6636978078001812,0.9285714285714286,8.876401892975542
5c3b0747,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.08488578617883616,0.024934930457316946,0.4676062665004185,0.7142857142857143,3.4042920762960116
9fbbf424,phase2_70b_t0_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.09965139855801274,0.02538336166566004,0.7972633985734865,0.8571428571428571,3.925855049090146
9fbbf424,phase2_70b_t0_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.08388612946160638,0.02780895493832347,-0.9579194486411782,0.14285714285714285,3.0165149912197187
cc6517ad,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,5,PREFLOP,TURN,CARD_REVEAL,0.35608011253071836,0.05106101883826519,0.8045468154140534,0.6428571428571429,6.973619419122743
868051ad,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.14138695261327366,0.009944614826540198,0.41227082048912633,0.8571428571428571,14.217438792696125
868051ad,phase2_70b_t02_s42_informative_v2_enriched.jsonl,2,5,FLOP,TURN,CARD_REVEAL,0.268220607258689,0.029171696369681525,-0.13149280073980327,0.8571428571428571,9.194549533891822
a7a2fb12,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.24376430674906496,0.02255973624714188,0.6840111191804779,0.6428571428571429,10.80528176742083
a7a2fb12,phase2_70b_t02_s42_informative_v2_enriched.jsonl,2,4,FLOP,TURN,CARD_REVEAL,0.2489035263962465,0.0828012260395395,-0.896910829877412,0.2857142857142857,3.006036725559949
e85af81d,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.17206791764717724,0.014501061294634606,0.2037374839436951,0.5,11.865884444667673
e85af81d,phase2_70b_t02_s42_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.16864697472633963,0.030857581633856972,0.6132969862570256,0.6428571428571429,5.4653335030409504
d503ed04,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,6,PREFLOP,TURN,CARD_REVEAL,0.16046100062470472,0.04519464626848191,-0.4451721086250514,0.5,3.5504426712729447
df2ace8b,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.12886992997943783,0.024796547085370595,0.87851771899037,0.6428571428571429,5.197091737642302
4c035503,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,FLOP,CARD_REVEAL,0.20306147531458263,0.06148022500702446,0.21743860853239452,0.5,3.302874628246428
4c035503,phase2_70b_t02_s42_informative_v2_enriched.jsonl,3,8,FLOP,TURN,CARD_REVEAL,0.2239210329859523,0.04529109971058389,-0.9112996059167614,0.5714285714285714,4.944040538137455
ba2c16c2,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.143678645753418,0.021581001282119722,0.7147582177714676,0.5714285714285714,6.657645021895186
f0e17aea,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,4,PREFLOP,TURN,CARD_REVEAL,0.2147474915369619,0.07617998310165552,0.25081943394877604,0.5,2.8189490571348665
f0e17aea,phase2_70b_t02_s42_informative_v2_enriched.jsonl,4,7,TURN,RIVER,CARD_REVEAL,0.19008679985006915,0.025605920679318345,-0.703700494904715,0.5714285714285714,7.423548726509976
eeb35183,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.2367043965627307,0.009567619324826963,-0.23222532024985054,0.6428571428571429,24.740156200457072
d27149ff,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,FLOP,CARD_REVEAL,0.150970629561377,0.05805017467759241,-0.05826855758071927,0.2857142857142857,2.6006920805985487
d27149ff,phase2_70b_t02_s42_informative_v2_enriched.jsonl,3,8,FLOP,TURN,CARD_REVEAL,0.213455481920974,0.051682713388874965,-0.9407393790142544,0.5714285714285714,4.130113686463715
2a032a37,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,5,PREFLOP,FLOP,CARD_REVEAL,0.16060834761093226,0.04986813697652172,0.21590624123654123,0.8571428571428571,3.2206606732982195
2a032a37,phase2_70b_t02_s42_informative_v2_enriched.jsonl,5,8,FLOP,TURN,CARD_REVEAL,0.1035285468695321,0.03641422145964199,-0.7244540253549501,0.7142857142857143,2.8430800582753957
6b302560,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.21410643892004214,0.01606272548004081,0.35766043155491994,0.6428571428571429,13.329396632351472
87988718,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.2888065267604678,0.011123200981920206,0.32062354760345496,0.8571428571428571,25.964335916423487
79763131,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,FLOP,CARD_REVEAL,0.17381249559223355,0.05814525649189801,0.004594728019943289,0.42857142857142855,2.9892807441042533
d0974784,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,4,PREFLOP,FLOP,CARD_REVEAL,0.20063476309096945,0.043008062900152515,-0.3751319803971084,0.42857142857142855,4.665049982761674
8986cd62,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.22415276660642883,0.01482972489947489,-0.033563375228034154,0.5714285714285714,15.115099445598341
8986cd62,phase2_70b_t02_s42_informative_v2_enriched.jsonl,2,4,FLOP,FLOP,ACTION,0.045703839122486295,0.031163844055724355,0.019891170147087932,0.9285714285714286,1.466566160476315
8986cd62,phase2_70b_t02_s42_informative_v2_enriched.jsonl,4,5,FLOP,TURN,CARD_REVEAL,0.04584077595545069,0.00615179996378228,0.27944757884028826,0.9285714285714286,7.45160379487805
be444255,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,FLOP,CARD_REVEAL,0.14121946407462216,0.0564640369405264,0.037294429010560876,0.5,2.5010514962536012
8c9eaef1,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,7,PREFLOP,TURN,CARD_REVEAL,0.24873854070974621,0.04588843959218281,-0.22328495678822535,0.5714285714285714,5.420505532990913
c5d75836,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,3,PREFLOP,PREFLOP,ACTION,0.07033232263234891,0.025127716265743356,-0.40651819816678525,0.7142857142857143,2.798993823733717
c5d75836,phase2_70b_t02_s42_informative_v2_enriched.jsonl,3,5,PREFLOP,PREFLOP,ACTION,0.14503154395014176,0.02755076033535687,0.7655172770194397,0.7857142857142857,5.264157583484824
85bab0f4,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.30654364583647964,0.013062459808952737,0.1909264725716939,0.6428571428571429,23.467528346106835
787956c2,phase2_70b_t02_s42_informative_v2_enriched.jsonl,1,2,PREFLOP,FLOP,CARD_REVEAL,0.1450997173359481,0.004443581801823342,0.04305050696193053,0.7857142857142857,32.65377432151898
